,date,symbol,mcap,price,volume
318,20150401,BCN,2461062.06,1.436e-05,4579.73
319,20150401,XEM,2180938.99,0.0002423,65524.86
320,20150501,BTC,3275581427.49,232.08,18815292.0
321,20150501,XRP,255858042.88,0.008018,663959.13
322,20150501,LTC,54371767.07,1.41,1169672.0
323,20150501,DASH,14619348.83,2.74,149552.36
324,20150501,XLM,12765342.22,0.002647,5404.7
325,20150501,MAID,10611174.88,0.02345,6617.4
326,20150501,DOGE,9689693.4,9.764e-05,110576.58
327,20150501,NXT,9226127.74,0.009226,10649.18
328,20150501,BTS,8760471.32,0.003492,40136.7
329,20150501,BANX,7216948.66,1.42,14647.0
330,20150501,PPC,5106784.01,0.2293,5955.17
331,20150501,BCN,4668218.18,2.709e-05,8068.98
332,20150501,XMR,3712413.11,0.5,13569.47
333,20150501,NMC,3655447.8,0.3194,10852.32
334,20150501,YBC,2893428.68,0.9645,46396.51
335,20150501,XCP,2489262.69,0.9423,914.5
336,20150501,XPY,2078273.18,0.1323,17612.07
337,20150501,NSR,1957156.16,0.002404,1182.85
338,20150501,SWARM,1583102.07,0.01584,1515.92
339,20150501,MONA,1442034.74,0.07502,13253.46
340,20150601,BTC,3171169613.64,222.93,26090512.0
341,20150601,XRP,241819599.7,0.007579,777564.75
342,20150601,LTC,63899978.08,1.62,1998469.25
343,20150601,BTS,15228822.67,0.006063,127882.95
344,20150601,XLM,14866603.68,0.003073,20680.56
345,20150601,DASH,14374991.76,2.65,75761.13
346,20150601,DOGE,14097605.25,0.0001415,349099.69
347,20150601,NXT,10641154.66,0.01064,22836.26
348,20150601,BANX,7951115.54,1.36,12280.18
349,20150601,MAID,7652042.46,0.01691,4374.84
350,20150601,BCN,6303391.08,3.636e-05,14163.15
351,20150601,PPC,6207433.1,0.2775,64170.86
352,20150601,NMC,3586830.67,0.3077,23566.56
353,20150601,XMR,3571320.61,0.4516,21924.02
354,20150601,YBC,2807506.26,0.9358,51091.35
355,20150601,BLK,2350441.5,0.03137,18712.07
356,20150601,XCP,2335229.03,0.8843,1762.48
357,20150601,MONA,2306753.95,0.1149,3678.0
358,20150601,IFC,2092985.07,2.31e-05,54160.76
359,20150601,NSR,1625996.21,0.002001,521.91
360,20150701,BTC,3707306204.4,258.62,27029822.0
361,20150701,XRP,357323849.16,0.0112,558247.56
362,20150701,LTC,158580741.46,3.92,7113185.0
363,20150701,DOGE,19332929.6,0.0001933,385336.69
364,20150701,BTS,17125122.5,0.006817,60573.66
365,20150701,XLM,16728457.75,0.003458,13853.07
366,20150701,DASH,15552544.14,2.82,49328.92
367,20150701,NXT,13182487.24,0.01318,58706.54
368,20150701,PPC,10861158.25,0.4838,239768.89
369,20150701,BANX,10758198.78,1.74,6129.54
370,20150701,MAID,8495014.83,0.01877,8537.88
371,20150701,NMC,7824985.47,0.6591,83176.48
372,20150701,BCN,5688531.16,3.265e-05,4871.86
373,20150701,XMR,4155696.47,0.4988,16985.88
374,20150701,START,3995451.02,0.1491,45200.54
375,20150701,BLK,3559973.32,0.0475,72258.04
376,20150701,MONA,3470982.77,0.1658,4740.63
377,20150701,XCP,3271038.08,1.24,2458.02
378,20150701,YBC,2892313.6,0.9641,50098.27
379,20150701,XPM,2375652.79,0.2231,244741.06
380,20150801,BTC,4069124088.27,281.6,18995048.0
381,20150801,XRP,262351865.18,0.008222,196429.03
382,20150801,LTC,171588211.76,4.15,6284531.5
383,20150801,DASH,20342041.98,3.61,63208.81
384,20150801,DOGE,17575915.25,0.000175,157221.23
385,20150801,MAID,14755943.37,0.03261,6162.53
386,20150801,BANX,13457631.06,1.89,7869.36
387,20150801,BCN,13427594.07,7.669e-05,39970.18
388,20150801,XLM,12778538.48,0.002642,11103.28
389,20150801,BTS,12232935.2,0.00487,24336.11
390,20150801,PPC,11208700.62,0.4976,105262.19
391,20150801,NXT,11194651.1,0.01119,25404.24
392,20150801,NMC,7391845.52,0.6105,37806.77
393,20150801,XMR,5150909.97,0.5887,47982.11
394,20150801,XCP,4710774.51,1.78,2395.86
395,20150801,ETC,2961136.58,2.96,9119.74
396,20150801,YBC,2704439.88,0.9015,65010.32
397,20150801,CLAM,2456393.71,3.05,11956.64
398,20150801,BLK,2425184.6,0.03235,23824.4
399,20150801,MONA,2401031.13,0.1111,2637.52
